ID,Feature_Alpha,Feature_Beta,Feature_Gamma,Feature_Delta,Feature_Epsilon,Feature_Zeta,Feature_Eta,Feature_Theta,Target_Value
6560,75.744,300.0,6.932926829268292,1.0365853658536586,6.263398262591624,3.1951219512195124,33.9,-117.82,2.593
1071,8.338,52.0,8.297101449275363,0.9637681159420289,334.0,2.420289855072464,38.54,-121.5,4.058
11749,28.75,312.0,5.1697612732095495,1.0503978779840848,7.362645270417825,4.177718832891247,34.96,-120.45,1.214
13991,2.5,43.0,3.4671052631578947,0.875,367.0,2.414473684210526,37.96,-121.26,0.636
17310,2.0303,40.0,4.925087108013937,1.1411149825783973,2037.0,3.548780487804878,37.94,-121.29,0.638
17392,18.854,360.0,3.7984790874524714,1.0038022813688212,6.919683849847411,3.844106463878327,37.79,-122.23,1.375
8391,3.4279,25.0,5.6909090909090905,0.9854545454545455,661.0,2.403636363636364,36.81,-119.77,0.847
7417,55.362,84.0,7.067741935483871,1.0451612903225806,7.053585727193677,3.729032258064516,33.83,-117.53,1.956
16167,25.432000000000002,348.0,3.413572343149808,1.085787451984635,7.616283561580385,2.5992317541613317,33.89,-118.12,1.809
6345,5.1033,15.0,6.367713004484305,1.1150971599402093,1701.0,2.5426008968609866,34.17,-118.88,4.107
15285,2.6354,40.0,3.3527397260273974,1.0136986301369864,934.0,3.1986301369863015,33.96,-118.19,1.518
10266,42.727000000000004,552.0,5.837349397590361,1.0271084337349397,6.645090969505644,2.3132530120481927,37.8,-122.19,2.469
6803,3.3155,27.0,4.419243986254296,1.2164948453608246,2321.0,2.65864833906071,33.43,-117.62,2.31
15977,20.192,216.0,3.3961661341853033,1.0894568690095847,6.9411900550683745,3.3003194888178915,36.94,-121.77,1.713
1568,1.1786,32.0,4.520979020979021,1.1083916083916083,1109.0,3.8776223776223775,35.35,-118.99,0.456
698,2.7768,19.0,4.280354706684856,1.0545702592087312,4312.0,2.941336971350614,37.3,-121.85,1.786
3771,8.9728,39.0,7.013201320132013,0.9735973597359736,862.0,2.844884488448845,34.14,-118.05,5.00001
14345,1.6325,39.0,4.272388059701493,1.0055970149253732,1685.0,3.1436567164179103,36.73,-119.75,0.521
10846,39.048,624.0,4.998540145985402,1.0072992700729928,7.729295674310482,3.318248175182482,37.79,-122.22,1.647
9038,2.5267,14.0,3.3595706618962433,1.0983899821109124,1874.0,3.3524150268336315,34.2,-118.36,2.318
20302,3.4773,31.0,4.611898016997167,1.028328611898017,1595.0,2.2592067988668556,32.79,-117.0,1.558
9927,4.2989,34.0,4.787658802177859,1.0526315789473684,1150.0,2.087114337568058,34.16,-118.4,3.647
11534,4.2422,27.0,3.384180790960452,1.0131826741996233,1610.0,3.032015065913371,37.37,-121.99,2.375
17273,21.406,228.0,2.847741935483871,1.0451612903225806,7.173958319756794,1.6825806451612904,37.45,-122.16,4.025
1268,35.473,396.0,4.1089258698941,0.9984871406959153,7.4999765409521215,2.7337367624810893,33.83,-118.3,2.263
19298,2.535,24.0,5.0853889943074,1.1499051233396584,1728.0,3.2789373814041745,33.78,-116.97,0.748
10208,30.0,408.0,6.25531914893617,1.0425531914893618,4.997212273764115,3.127659574468085,37.5,-121.21,1.625
2739,26.094,456.0,5.197183098591549,1.0528169014084507,7.307872780763706,2.625,35.42,-119.03,0.679
19884,3.7566,32.0,5.453389830508475,1.125,2609.0,5.5275423728813555,34.28,-118.41,1.467
1314,52.586000000000006,204.0,6.945035460992908,1.1312056737588652,7.501082124259871,3.2074468085106385,38.69,-121.26,1.37
3940,31.094,396.0,4.036474164133739,1.0577507598784195,6.806829360392176,2.74468085106383,34.14,-117.97,1.36
4910,4.7961,4.0,4.825174825174825,1.1258741258741258,755.0,2.63986013986014,33.12,-117.29,1.688
3531,3.4269,26.0,3.376425855513308,1.067173637515843,1745.0,2.211660329531052,34.02,-118.42,3.019
5574,3.024,36.0,4.024096385542169,1.0040160642570282,1312.0,5.269076305220883,34.27,-118.43,1.48
558,5.0391,28.0,5.867796610169491,1.0,810.0,2.7457627118644066,37.91,-122.07,2.598
12752,46.875,336.0,5.99738219895288,0.9712041884816754,7.002155954403621,2.8743455497382198,32.82,-117.16,1.88
11089,25.833,348.0,3.4818355640535374,1.124282982791587,7.242797922793756,2.6711281070745696,33.95,-118.38,1.875
17329,44.5,180.0,5.047218628719276,1.036869340232859,7.992268643270745,1.9126778783958602,37.93,-122.05,1.849
8891,27.788,216.0,7.04054054054054,1.5945945945945945,5.1647859739235145,2.3513513513513513,33.84,-116.86,0.911
16283,32.813,540.0,5.934579439252336,1.1308411214953271,6.395261598115449,2.794392523364486,36.8,-119.99,1.054
2962,3.6512,18.0,4.3730407523510975,1.072884012539185,3842.0,3.010971786833856,34.04,-118.09,1.685
6156,63.94199999999999,48.0,5.681271810779372,1.0957735556417216,8.633018756921828,2.1764249709189607,37.78,-121.95,3.567
18320,32.5,468.0,4.503205128205129,1.0737179487179487,7.01211529430638,1.7772435897435896,34.06,-118.36,3.55
4660,1.9483,50.0,4.413854351687389,1.0781527531083481,1354.0,2.4049733570159857,37.86,-122.29,1.505
18400,54.378,624.0,4.6234132581100145,1.0930888575458393,7.154615356913663,1.8039492242595205,37.8,-122.41,5.00001
19914,4.1618,52.0,6.065602836879433,1.0602836879432624,1203.0,2.132978723404255,34.07,-118.34,5.00001
19866,22.416999999999998,576.0,5.048484848484849,1.1393939393939394,6.481577129276431,3.9515151515151516,38.09,-122.25,0.879
12929,1.625,52.0,3.0320855614973263,1.032085561497326,272.0,1.4545454545454546,38.57,-121.48,1.875
16020,2.4091,24.0,4.081534772182255,1.0719424460431655,1240.0,2.973621103117506,34.94,-120.45,1.155
2223,91.415,60.0,7.2052980132450335,0.9757174392935982,7.382746449738912,3.5474613686534218,37.54,-122.26,5.00001
5056,6.5078,45.0,6.515570934256055,0.9515570934256056,764.0,2.643598615916955,34.11,-118.09,4.148
480,2.9943,41.0,3.828828828828829,1.0648648648648649,1604.0,2.89009009009009,33.8,-118.19,1.906
13029,21.354000000000003,348.0,5.096085409252669,1.0676156583629892,7.181591944611865,2.3380782918149468,40.57,-124.14,0.751
3567,1.9375,41.0,5.6091370558375635,1.3045685279187818,816.0,4.1421319796954315,34.11,-117.31,0.641
19316,1.7257,39.0,5.068354430379747,1.0531645569620254,1166.0,2.9518987341772154,37.93,-122.35,0.915
14132,51.297,192.0,5.788461538461538,1.0502958579881656,7.48605261786314,2.636094674556213,37.99,-122.11,2.067
20421,16.955,348.0,3.2230971128608923,1.1382327209098864,8.266678443305896,3.404199475065617,33.78,-118.16,1.797
11155,43.833,72.0,7.562753036437247,1.1700404858299596,6.621405651764134,3.0364372469635628,33.56,-117.1,3.076
12338,3.072,15.0,5.977941176470588,1.236764705882353,1986.0,2.9205882352941175,37.69,-120.97,1.143
13047,3.9461,16.0,4.522184300341297,1.023890784982935,1969.0,3.3600682593856654,37.25,-121.82,1.943
2632,2.7875,30.0,4.707423580786026,1.0633187772925765,1023.0,2.2336244541484715,36.99,-122.02,2.45
8496,33.203,324.0,5.8671875,0.9947916666666666,7.088408778675395,3.1171875,34.65,-120.45,1.347
10053,40.313,420.0,3.996794871794872,1.1057692307692308,7.027314514039777,1.8044871794871795,32.77,-117.25,3.853
